Lp,Nazwa surowca,Energia [kJ/100g],Energia [kcal/100g],Tłuszcz [g],Kwasy tłuszczowe nasycone [g],Węglowodany [g],Cukry [g],Białko [g],Sól [g],Skład,Cukier,Tłuszcz kakaowy,Kakao w proszku o obniżonej zawartości tłuszczu,Mleko w proszku odtłuszczone,Mleko w proszku pełne,Tłuszcz mlekowy,Miazga kakaowa,Emulgator  (E322) ze słonecznika,Emulgator (E322) z soi,Emulgator (E322) z rzepaku,Emulgator (E492),Emulgator (E472c),Ekstrakt z wanilii,Frakcjonowany i całkowicie utwardzony tłuszcz roślinny (olej palmowy),Aromat,Serwatka w proszku (z mleka),"Tłuszcze i oleje roślinne nieutwardzone (shea, rzepakowy)",Laktoza (z mleka),Syrop glukozowo-fruktozowy,Bezwodny tłuszcz mleczny,Emulgator (E476),Skrobia ryżowa,Skrobia kukurydziana,Oleje roślinne (słonecznikowy i palmowy),Orzech laskowy,Pistacja,Mąka pszenna,Tłuszcz kokosowy,Gluten,Skorupiaki,Jaja,Ryby,Orzeszki ziemne,Soja,Mleko,Orzechy,Seler,Gorczyca,Sezam,Dwutlenek siarki i siarczyny,Łubin,Mięczaki,Cukier.1,Tłuszcz kakaowy.1,Kakao w proszku o obniżonej zawartości tłuszczu.1,Mleko w proszku odtłuszczone.1,Mleko w proszku pełne.1,Tłuszcz mlekowy.1,Miazga kakaowa.1,Emulgator  (E322) ze słonecznika.1,Emulgator (E322) z soi.1,Emulgator (E322) z rzepaku.1,Emulgator (E492).1,Emulgator (E472c).1,Ekstrakt z wanilii.1,Frakcjonowany i całkowicie utwardzony tłuszcz roślinny (olej palmowy).1,Aromat.1,Serwatka w proszku (z mleka).1,"Tłuszcze i oleje roślinne nieutwardzone (shea, rzepakowy).1",Laktoza (z mleka).1,bezwodny tłuszcz mleczny,Emulgator (E476).1,Skrobia ryżowa.1,Owoc,Skrobia kukurydziana.1,Oleje roślinne (słonecznikowy i palmowy).1,Orzech laskowy.1,Pistacja.1
11,Czerwona porzeczka liofilizowana,1328,316,1.2,0.1,56,43,8.2,0.02,czerwona porzeczka liofilizowana 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,Polska,,,,
12,Malina liofilizowana,1402,335,6,0.18,50.3,25.2,6.8,0,malina liofilizowana 100% ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,Polska,,,,
13,Żurawina liofilizowana,1381,330,3.3,0.1,55,29,2.9,0.04,żurawina liofilizowana 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,Polska,,,,
14,Jabłko liofilizowane bez skórki,1517,358,0.7,0.1,81,71,2.1,0.01,jabłko liofilizowane 100% ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,Polska,,,,
15,MASTER MARTINI czekolada mleczna 32%,2308,553,34,22,55,55,6.2,0.33,"cukier, masło kakaowe, MLEKO w proszku, masa kakaowa, emulgator (E322 lecytyna słonecznikowa), naturalny aromat waniliowy.",47,25,0,0,20.5,0,7,0.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,nie zawiera,nie zawiera,może zawierać,może zawierać,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"Mauritius, Włochy, Serbia, Niemcy, Chorwacja, Austria, Kolumbia, Kambodża, Suazi, Brazylia, Zambia, Francja, Belgia","Afryka Zachodnia, Indonezja",,,"Niemcy, Polska, Belgia, Francja, Wielka Brytania, Irlandia, Holandia",,"Afryka Zachodnia, Indonezja, Malezja, Ameryka Południowa","Ukraina, Włochy, Niemcy, Wielka Brytania, Holandia, Hiszpania",,,,,,,Szwajcaria,,,,,,,,,,,
16,MASTER MARTINI czekolada ciemna,2246,541,39,25,33,28,8.6,0.21,"masa kakaowa, cukier, tłuszcz kakaowy, kakao o obniżonej zawartości tłuszczu, emulgator (lecytyny), naturalny aromat waniliowy",27.5,6,4,0,0,0,62,0.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,nie zawiera,nie zawiera,może zawierać,może zawierać,może zawierać,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"Mauritius, Włochy, Serbia, Niemcy, Crostia, Austria, Kolumbia, Kambodża, Laos, Brazylia, Zambia, Francja, Belgia, Zimbabwe"," Afryka Zachodnia, Indonezja","Afryka Zachodnia, Indonezja, Malezja, Ameryka Południowa",,,,"Afryka Zachodnia, Indonezja, Malezja, Ameryka Południowa","Ukraina, Włochy, Niemcy, Wielka Brytania, Holandia, Hiszpania",,,,,,, Szwajcaria ,,,,,,,,,,,
17,MASTER MARTINI czekolada biała,2401,576,37,24,55,55,5.7,0.24,"cukier, masło kakaowe, MLEKO w proszku, emulgator (lecytyna słonecznikowa E322), naturalny aromat waniliowy",46.5,31,0,0,22,0,0,0.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,może zawierać,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"UE (Niemcy, Francja)","Afryka Zachodnia (Wybrzeże Kości Słoniowej, Nigeria, Kamerun, Ghana), Tanzania, Togo, Sierra Leone, Gwinea, Liberia, Wyspy Świętego Tomasza, Kongo, Uganda, Ekwador, Peru, Kolumbia, Indonezja, Malezja, Ameryka Południowa, Ameryka, Azja, Region Oceanii",,,"Irlandia, Niemcy, Francja, Holandia, Belgia, Austria, Litwa, Czechy, Polska, Portugalia, Hiszpania, Włochy",,,"Ukraina, Argentyna, Austria, Bułgaria, Węgry, Turcja, Francja, Włochy, Romania, Chorwacja, Mołdawia, Słowacja, Europa, Ameryka Południowa",,,,,,,Madagaskar ,,,,,,,,,,,
18,MILANO CZEKOLADA 33%,2323,557,34.9,21.7,54.5,53.7,5.4,0.21,"cukier, tłuszcz kakaowy, mleko w proszku pełne, miazga kakaowa, serwatka w proszku (z mleka), tłuszcz mleczny, emulgator: lecytyny, naturalny aromat. Masa kakaowa minimum 33 %. ",45,24,0,0,15,1.5,10,0,0,0.48,0,0,0,0,0.02,4,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,zawiera,może zawierać,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,UE ,"Brazylia, Kostaryka, Dominikana, Ekwador, Grenada, Gwinea, Haiti, Honduras, Indie,  Indonezja, Liberia, Madagaskar, Malezja,  Meksyk, Nikaragua, Panama, Papua Nowa Gwinea, Peru, Wyspy Salomona, Tanzania, Trinidad, Uganda, Vanuatu, Wenezuela",,,UE ,UE,"Sierra Leone, Wybrzeże Kości Słoniowej, Ghana, Togo, Nigeria, Kamerun, Malezj",,"Węgry, Niemcy, Austria, Polska",,,,,,Hiszpania,UE,,,,,,,,,,
19,MILANO CZEKOLADA BIAŁA z E,2265,542,31,19.5,61.1,61.1,4.6,0.28,"cukier, tłuszcz kakaowy, mleko w proszku pełne, serwatka w proszku (z mleka), emulgatory (lecytyny (z soi), polirycynooleinian poliglicerolu), aromat. ",49.2,27,0,0,15,0,0,0,0.19,0,0,0,0,0,0.01,8.5,0,0,0,0,0.1,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,zawiera,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,UE ,"Wybrzeże Kości Słoniowej, Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam",,,"Polska, UE",,,,"Grecja, Indie, Ukraina, Rosja",,,,,,Francja,"Polska, UE ",,,,Indie ,,,,,,
20,MILANO CZEKOLADA z E 50%,2118,508,28.9,17.5,51.4,48.5,6,0.04,"cukier, miazga kakaowa, tłuszcz kakaowy, emulgator [lecytyny (z soi), E476], ekstrakt z wanilii. Masa kakaowa minimum 50 %. ",48,3.5,0,0,0,0,48,0,0.38,0,0,0,0.02,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,zawiera,może zawierać,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,UE ,"Wybrzeże Kości Słoniowej, Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam",,,,,"Wybrzeże Kości Słoniowej, Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Grecja, Indie, Ukraina",,,,,,Francja,,,,,"Indie, Włochy, Niemcy",,,,,,
21,MILANO POLEWA KAKAOWO MLECZNA,2329,559,34.7,21,53.3,51.6,7,0.26,"cukier, tłuszcze roślinne (palmowy, shea), mleko w proszku odtłuczone, kakao w proszku o obnizonej zawartości tłuszczu, serwatka w proszku (z mleka), mleko w proszku pełne, emulgator: lecytyny (z soi), aromat",40,0,7.5,13,3,0,0,0,0.48,0,0,0,0,0,0.02,3.5,32.5,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,zawiera,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MILANO CZEKOLADA MLECZNA 30% z E,2211,529,29,18.6,59.4,58.7,6.5,0.29,"cukier, tłuszcz kakowy, mleko w proszku odtłuszczone, miazga kakaowa, serwatka w proszku (z mleka), tłuszcz mleczny, emulgatory (lecytyny z soi), polirycynooleinian poliglicerolu), aromat. Masa kakaowa minimum 30 %.",45.7,19.5,0,13,0,3.5,11,0,0.18,0,0,0,0,0,0,7,0,0,0,0,0.1,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,zawiera,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,,,,,
23,RENOMA CZEKOLADA BIAŁA 30% TŁUSZCZU,2210,530,29.9,21.6,59.5,59.2,5.11,0.4,"cukier , mleko pełne w proszku , masło kakaowe , odtłuszczone mleko w proszku , emulgator: lecytyny
(sojowe) , naturalny aromat waniliowy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,nie zawiera,nie zawiera,może zawierać,zawiera,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MIRAN ROŻEK WAFLOWY MINI CONES,1698,400,3.3,1.5,85,33,7.4,0.07,"mąka PSZENNA, cukier, emulgator (lecytyna SOJOWA), tłuszcz kokosowy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zawiera,nie zawiera,nie zawiera,nie zawiera,może zawierać,zawiera,może zawierać,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WIEPOL KREM O SMAKU TRUSKAWKOWYM,2456,587,39,20,57,56,1.8,0.15,"cukier, tłuszcze i oleje roślinne nieutwardzony (palmowy, rzepakowy), serwatka w proszku [ z MLEKA], MLEKO w proszku odtłuszczone, emulgatory: lecytyna rzepakowa, barwnik E 120, aromat.",44,0,0,1,0,0,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,39,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,może zawierać,może zawierać,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,Polska,,,Polska,,,,,,UE,,,,"UE, Malezja",UE,Polska,,,,,,,,,,
